"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/26/2006",2.2892
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/27/2006",2.289
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/28/2006",2.2905
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/02/2006",2.2877
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/03/2006",2.2934
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/04/2006",2.2937
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/05/2006",2.2856
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/08/2006",2.2982
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/09/2006",2.2884
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/10/2006",2.2881
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/11/2006",2.2817
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/15/2006",2.2952
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/16/2006",2.287
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/17/2006",2.2818
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/18/2006",2.2896
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/19/2006",2.2838
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/22/2006",2.2841
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/23/2006",2.2931
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/24/2006",2.2917
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/25/2006",2.3013
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/26/2006",2.309
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/29/2006",2.3024
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/30/2006",2.2943
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/31/2006",2.3023
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/01/2006",2.3001
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/02/2006",2.3022
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/05/2006",2.3099
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/06/2006",2.3078
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/07/2006",2.3087
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/08/2006",2.3104
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/09/2006",2.3043
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/12/2006",2.3068
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/13/2006",2.3056
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/14/2006",2.3087
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/15/2006",2.2974
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/16/2006",2.2955
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/19/2006",2.2935
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/20/2006",2.3009
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/21/2006",2.3022
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/22/2006",2.3031
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/23/2006",2.3047
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/26/2006",2.31
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/27/2006",2.3069
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/28/2006",2.3082
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/29/2006",2.3074
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","06/30/2006",2.3126
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/03/2006",2.3142
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/04/2006",2.3092
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/05/2006",2.3035
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/06/2006",2.3119
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/07/2006",2.313
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/10/2006",2.3109
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/11/2006",2.3141
