"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/28/2006",2.7365
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/02/2006",2.7333
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/03/2006",2.7676
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/04/2006",2.7736
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/05/2006",2.7718
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/08/2006",2.7727
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/09/2006",2.7599
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/10/2006",2.7692
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/11/2006",2.7596
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/15/2006",2.7714
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/16/2006",2.765
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/17/2006",2.7567
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/18/2006",2.7508
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/19/2006",2.7578
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/22/2006",2.7389
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/23/2006",2.7339
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/24/2006",2.7379
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/25/2006",2.7439
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/26/2006",2.7662
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/29/2006",2.7555
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/30/2006",2.7545
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","05/31/2006",2.7695
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/01/2006",2.7217
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/02/2006",2.715
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/05/2006",2.735
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/06/2006",2.715
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/07/2006",2.7098
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/08/2006",2.735
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/09/2006",2.7279
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/12/2006",2.7491
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/13/2006",2.7346
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/14/2006",2.7205
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/15/2006",2.7005
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/16/2006",2.7102
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/19/2006",2.7011
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/20/2006",2.7086
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/21/2006",2.7035
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/22/2006",2.7102
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/23/2006",2.7004
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/26/2006",2.7027
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/27/2006",2.7024
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/28/2006",2.6956
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/29/2006",2.6876
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","06/30/2006",2.7219
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/03/2006",2.7256
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/04/2006",2.7145
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/05/2006",2.7157
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/06/2006",2.7185
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/07/2006",2.7263
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/10/2006",2.7334
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/11/2006",2.7351
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/12/2006",2.7523
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/13/2006",2.765
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/14/2006",2.7579
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/17/2006",2.7683
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/18/2006",2.7643
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/19/2006",2.7498
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/20/2006",2.7628
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/21/2006",2.761
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/24/2006",2.7728
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/25/2006",2.7852
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/26/2006",2.7874
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/27/2006",2.7968
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/28/2006",2.8001
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","07/31/2006",2.8011
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/01/2006",2.7995
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/02/2006",2.8162
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/03/2006",2.808
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/04/2006",2.8051
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/07/2006",2.8
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/08/2006",2.7952
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/09/2006",2.787
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/10/2006",2.8187
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/11/2006",2.8252
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/14/2006",2.8273
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/15/2006",2.7955
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/16/2006",2.8149
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/17/2006",2.819
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/18/2006",2.7967
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/21/2006",2.7896
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/22/2006",2.7994
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/23/2006",2.8016
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/24/2006",2.7981
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/25/2006",2.7972
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/28/2006",2.796
