"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/27/2006",3.632
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/28/2006",3.6255
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/02/2006",3.6148
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/03/2006",3.609
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/04/2006",3.614
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/05/2006",3.6065
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/08/2006",3.5963
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/09/2006",3.5963
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/10/2006",3.584
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/11/2006",3.5825
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/15/2006",3.6025
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/16/2006",3.6165
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/17/2006",3.586
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/18/2006",3.615
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/19/2006",3.613
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/22/2006",3.634
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/23/2006",3.6295
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/24/2006",3.6425
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/25/2006",3.65
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/26/2006",3.6455
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/29/2006",3.635
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/30/2006",3.6215
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/31/2006",3.629
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/01/2006",3.637
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/02/2006",3.638
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/05/2006",3.6345
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/06/2006",3.6435
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/07/2006",3.6538
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/08/2006",3.667
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/09/2006",3.6685
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/12/2006",3.6735
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/13/2006",3.686
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/14/2006",3.6905
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/15/2006",3.6615
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/16/2006",3.6435
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/19/2006",3.664
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/20/2006",3.6715
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/21/2006",3.6595
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/22/2006",3.659
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/23/2006",3.6765
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/26/2006",3.6945
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/27/2006",3.6815
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/28/2006",3.6845
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/29/2006",3.6875
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","06/30/2006",3.675
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/03/2006",3.6625
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/04/2006",3.6505
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/05/2006",3.6435
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/06/2006",3.664
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/07/2006",3.656
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/10/2006",3.6375
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/11/2006",3.6505
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/12/2006",3.652
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/13/2006",3.6615
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/14/2006",3.675
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/17/2006",3.684
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/18/2006",3.6875
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/19/2006",3.6865
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/20/2006",3.682
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/21/2006",3.684
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/24/2006",3.6875
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/25/2006",3.6915
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/26/2006",3.688
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/27/2006",3.6725
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/28/2006",3.673
